,Stage,Date,Distance,Origin,Destination,Type,Winner,Winner_Country,Year
806,19,1981-07-16,118.0,Veurey,Saint-Priest,Flat Stage,Daniel Willems,BEL,1981
807,20,1981-07-17,46.0,Saint-Priest,Saint-Priest,Individual Time Trial,Bernard Hinault,FRA,1981
808,21,1981-07-18,207.0,Auxerre,Fontenay-sous-Bois,Flat Stage,Johan van der Velde,NED,1981
809,22,1981-07-19,187.0,Fontenay-sous-Bois,Paris,Flat Stage,Freddy Maertens,BEL,1981
810,P,1980-06-26,8.0,Frankfurt,Frankfurt,Individual Time Trial,Bernard Hinault,FRA,1980
811,1a,1980-06-27,133.0,Frankfurt,Wiesbaden,Flat Stage,Jan Raas,NED,1980
812,1b,1980-06-27,46.0,Wiesbaden,Frankfurt,Team Time Trial,TI–Raleigh–Creda,,1980
813,2,1980-06-28,276.0,Frankfurt,Metz,Flat Stage,Rudy Pevenage,BEL,1980
814,3,1980-06-29,282.0,Metz,Liège,Flat Stage,Henk Lubberding,NED,1980
815,4,1980-06-30,35.0,Spa,Spa,Individual Time Trial,Bernard Hinault,FRA,1980
816,5,1980-07-01,249.0,Liège,Lille,Flat Stage,Bernard Hinault,FRA,1980
817,6,1980-07-02,216.0,Lille,Compiègne,Flat Stage,Jean-Louis Gauthier,FRA,1980
818,7a,1980-07-03,65.0,Compiègne,Beauvais,Team Time Trial,TI–Raleigh–Creda,,1980
819,7b,1980-07-03,92.0,Beauvais,Rouen,Flat Stage,Jan Raas,NED,1980
820,8,1980-07-04,164.0,Flers,Saint-Malo,Flat Stage,Bert Oosterbosch,NED,1980
821,9,1980-07-06,205.0,Saint-Malo,Nantes,Flat Stage,Jan Raas,NED,1980
822,10,1980-07-07,163.0,Rochefort,Bordeaux,Flat Stage,Cees Priem,NED,1980
823,11,1980-07-08,52.0,Damazan,Laplume,Individual Time Trial,Joop Zoetemelk,NED,1980
824,12,1980-07-09,194.0,Agen,Pau,Flat Stage,Gerrie Knetemann,NED,1980
825,13,1980-07-10,200.0,Pau,Bagnères-de-Luchon,Mountain Stage,Raymond Martin,FRA,1980
826,14,1980-07-11,189.0,Lézignan-Corbières,Montpellier,Flat Stage,Ludo Peeters,BEL,1980
827,15,1980-07-12,160.0,Montpellier,Martigues,Flat Stage,Bernard Vallet,FRA,1980
828,16,1980-07-13,209.0,Trets,Pra-Loup,Mountain Stage,Jos De Schoenmaecker,BEL,1980
829,17,1980-07-14,242.0,Serre Chevalier,Morzine,Mountain Stage,Mariano Martínez,FRA,1980
830,18,1980-07-16,199.0,Morzine,Prapoutel,Mountain Stage,Ludo Loos,BEL,1980
831,19,1980-07-17,140.0,Voreppe,Saint-Étienne,Hilly Stage,Sean Kelly,IRE,1980
832,20,1980-07-18,34.0,Saint-Étienne,Saint-Étienne,Individual Time Trial,Joop Zoetemelk,NED,1980
833,21,1980-07-19,208.0,Auxerre,Fontenay-sous-Bois,Flat Stage,Sean Kelly,IRE,1980
834,22,1980-07-20,186.0,Fontenay-sous-Bois,Paris,Flat Stage,Pol Verschuere,BEL,1980
835,P,1979-06-27,5.0,Fleurance,Fleurance,Individual Time Trial,Gerrie Knetemann,NED,1979
836,1,1979-06-28,225.0,Fleurance,Luchon,Mountain Stage,René Bittinger,FRA,1979
837,2,1979-06-29,24.0,Luchon,Superbagnères,Individual Time Trial,Bernard Hinault,FRA,1979
838,3,1979-06-30,180.0,Luchon,Pau,Mountain Stage,Bernard Hinault,FRA,1979
839,4,1979-07-01,87.0,Captieux,Bordeaux,Team Time Trial,TI–Raleigh–McGregor,,1979
840,5,1979-07-02,145.0,Neuville-de-Poitou,Angers,Flat Stage,Jan Raas,NED,1979
841,6,1979-07-03,239.0,Angers,Saint-Brieuc,Flat Stage,Jos Jacobs,BEL,1979
842,7,1979-07-04,158.0,Saint-Hilaire-du-Harcouët,Deauville,Flat Stage,Leo van Vliet,NED,1979
843,8,1979-07-05,90.0,Deauville,Le Havre,Team Time Trial,TI–Raleigh–McGregor,,1979
844,9,1979-07-06,201.0,Amiens,Roubaix,Flat Stage,Ludo Delcroix,BEL,1979
845,10,1979-07-07,124.0,Roubaix,Brussels,Flat Stage,Jo Maas,NED,1979
846,11,1979-07-08,33.0,Brussels,Brussels,Individual Time Trial,Bernard Hinault,FRA,1979
847,12,1979-07-09,193.0,Rochefort,Metz,Flat Stage,Christian Seznec,FRA,1979
848,13,1979-07-10,202.0,Metz,Ballon d'Alsace,Hilly Stage,Pierre-Raymond Villemiane,FRA,1979
849,14,1979-07-11,248.0,Belfort,Évian-les-Bains,Flat Stage,Marc Demeyer,BEL,1979
850,15,1979-07-12,54.0,Évian-les-Bains,Morzine Avoriaz,Individual Time Trial,Bernard Hinault,FRA,1979
851,16,1979-07-13,201.0,Morzine Avoriaz,Les Menuires,Mountain Stage,Lucien Van Impe,BEL,1979
852,17,1979-07-15,167.0,Les Menuires,Alpe d'Huez,Mountain Stage,Joaquim Agostinho,POR,1979
853,18,1979-07-16,119.0,Alpe d'Huez,Alpe d'Huez,Mountain Stage,Joop Zoetemelk,NED,1979
854,19,1979-07-17,162.0,Alpe d'Huez,Saint-Priest,Flat Stage,Dietrich Thurau,GER,1979
855,20,1979-07-18,240.0,Saint-Priest,Dijon,Flat Stage,Serge Parsani,ITA,1979
856,21,1979-07-19,49.0,Dijon,Dijon,Individual Time Trial,Bernard Hinault,FRA,1979
857,22,1979-07-20,189.0,Dijon,Auxerre,Flat Stage,Gerrie Knetemann,NED,1979
858,23,1979-07-21,205.0,Auxerre,Nogent-sur-Marne,Flat Stage,Bernard Hinault,FRA,1979
859,24,1979-07-22,180.0,Le Perreux-sur-Marne,Paris,Flat Stage,Bernard Hinault,FRA,1979
860,P,1978-06-29,5.0,Leiden,Leiden,Individual Time Trial,Jan Raas,NED,1978
861,1a,1978-06-30,135.0,Leiden,Sint Willebrord,Flat Stage,Jan Raas,NED,1978
862,1b,1978-06-30,100.0,Sint Willebrord,Brussels,Flat Stage,Walter Planckaert,BEL,1978
863,2,1978-07-01,199.0,Brussels,Saint-Amand-les-Eaux,Flat Stage,Jacques Esclassan,FRA,1978
864,3,1978-07-02,244.0,Saint-Amand-les-Eaux,Saint-Germain-en-Laye,Flat Stage,Klaus-Peter Thaler,GER,1978
865,4,1978-07-03,153.0,Évreux,Caen,Team Time Trial,TI–Raleigh–McGregor,,1978
866,5,1978-07-04,244.0,Caen,Mazé-Montgeoffroy,Flat Stage,Freddy Maertens,BEL,1978
867,6,1978-07-05,162.0,Mazé-Montgeoffroy,Poitiers,Flat Stage,Sean Kelly,IRE,1978
868,7,1978-07-06,242.0,Poitiers,Bordeaux,Flat Stage,Freddy Maertens,BEL,1978
869,8,1978-07-07,59.0,Saint-Émilion,Sainte-Foy-la-Grande,Individual Time Trial,Bernard Hinault,FRA,1978
870,9,1978-07-08,233.0,Bordeaux,Biarritz,Flat Stage,Miguel Maria Lasa,ESP,1978
871,10,1978-07-10,192.0,Biarritz,Pau,Hilly Stage,Henk Lubberding,NED,1978
872,11,1978-07-11,161.0,Pau,Saint-Lary-Soulan Pla d'Adet,Mountain Stage,Mariano Martínez,FRA,1978
873,12a,1978-07-12,158.0,Tarbes,Valence d'Agen,Flat Stage,Cancelled,,1978
874,12b,1978-07-12,96.0,Valence d'Agen,Toulouse,Flat Stage,Jacques Esclassan,FRA,1978
875,13,1978-07-13,221.0,Figeac,Super Besse,Hilly Stage,Paul Wellens,BEL,1978
876,14,1978-07-14,52.0,Besse-en-Chandesse,Puy de Dôme,Individual Time Trial,Joop Zoetemelk,NED,1978
877,15,1978-07-15,196.0,Saint-Dier-d'Auvergne,Saint-Étienne,Hilly Stage,Bernard Hinault,FRA,1978
878,16,1978-07-16,241.0,St-Étienne,Alpe d'Huez,Mountain Stage,Hennie Kuiper,NED,1978
879,17,1978-07-18,225.0,Grenoble,Morzine,Mountain Stage,Christian Seznec,FRA,1978
880,18,1978-07-19,137.0,Morzine,Lausanne,Flat Stage,Gerrie Knetemann,NED,1978
881,19,1978-07-20,182.0,Lausanne,Belfort,Flat Stage,Marc Demeyer,BEL,1978
882,20,1978-07-21,72.0,Metz,Nancy,Individual Time Trial,Bernard Hinault,FRA,1978
883,21,1978-07-22,207.0,Epernay,Senlis,Flat Stage,Jan Raas,NED,1978
884,22,1978-07-23,162.0,Saint Germain en Laye,Paris,Flat Stage,Gerrie Knetemann,NED,1978
885,P,1977-06-30,5.0,Fleurance,Fleurance,Individual Time Trial,Dietrich Thurau,FRG,1977
886,1,1977-07-01,237.0,Fleurance,Auch,Flat Stage,Pierre-Raymond Villemiane,FRA,1977
887,2,1977-07-02,253.0,Auch,Pau,Mountain Stage,Dietrich Thurau,FRG,1977
888,3,1977-07-03,248.0,Oloron-Sainte-Marie,Vitoria-Gasteiz,Mountain Stage,José Nazabal,ESP,1977
889,4,1977-07-04,256.0,Vitoria-Gasteiz,Seignosse le Penon,Mountain Stage,Régis Delépine,FRA,1977
890,5a,1977-07-05,139.0,Morcenx,Bordeaux,Flat Stage,Jacques Esclassan,FRA,1977
891,5b,1977-07-05,30.0,Bordeaux,Bordeaux,Individual Time Trial,Dietrich Thurau,FRG,1977
892,6,1977-07-07,225.0,Bordeaux,Limoges,Flat Stage,Jan Raas,NED,1977
893,7a,1977-07-08,140.0,Jaunay-Clan,Angers,Flat Stage,Patrick Sercu,BEL,1977
894,7b,1977-07-08,4.0,Angers,Angers,Team Time Trial,Fiat France,,1977
895,8,1977-07-09,247.0,Angers,Lorient,Flat Stage,Giacinto Santambrogio,ITA,1977
896,9,1977-07-10,187.0,Lorient,Rennes,Mountain Stage,Klaus-Peter Thaler,FRG,1977
897,10,1977-07-11,174.0,Bagnoles-de-l'Orne,Rouen,Flat Stage,Fedor den Hertog,NED,1977
898,11,1977-07-12,242.0,Rouen,Roubaix,Flat Stage,Jean-Pierre Danguillaume,FRA,1977
899,12,1977-07-13,193.0,Roubaix,Charleroi,Mountain Stage,Patrick Sercu,BEL,1977
900,13a,1977-07-14,46.0,Freiburg,Freiburg,Flat Stage,Patrick Sercu,BEL,1977
901,13b,1977-07-14,160.0,Altkirch ,Besançon,Flat Stage,Jean-Pierre Danguillaume,FRA,1977
902,14,1977-07-16,230.0,Besançon,Thonon-les-Bains,Mountain Stage,Bernard Quilfen,FRA,1977
903,15a,1977-07-17,105.0,Thonon-les-Bains,Morzine,Mountain Stage,Paul Wellens,BEL,1977
904,15b,1977-07-17,14.0,Morzine,Avoriaz,Individual Time Trial,Lucien Van Impe,BEL,1977
905,16,1977-07-18,121.0,Morzine,Chamonix,Mountain Stage,Dietrich Thurau,FRG,1977
906,17,1977-07-19,185.0,Chamonix,Alpe d'Huez,Mountain Stage,Hennie Kuiper,NED,1977
907,18,1977-07-20,199.0,Rossignol Voiron,Saint-Étienne,Mountain Stage,no winner,,1977
908,19,1977-07-21,172.0,Saint-Trivier-sur-Moignans,Dijon,Flat Stage,Gerrie Knetemann,NED,1977
909,20,1977-07-22,50.0,Dijon,Dijon,Individual Time Trial,Bernard Thévenet,FRA,1977
910,21,1977-07-23,142.0,Montereau-Fault-Yonne,Versailles,Flat Stage,Gerrie Knetemann,NED,1977
911,22a,1977-07-24,6.0,Paris,Paris,Individual Time Trial,Dietrich Thurau,FRG,1977
912,22b,1977-07-24,91.0,Paris,Paris,Flat Stage,Alain Meslet,FRA,1977
913,P,1976-06-24,8.0,Saint-Jean-de-Monts,Saint-Jean-de-Monts,Individual Time Trial,Freddy Maertens,BEL,1976
914,1,1976-06-25,173.0,Saint-Jean-de-Monts,Angers,Flat Stage,Freddy Maertens,BEL,1976
915,2,1976-06-26,237.0,Angers,Caen,Flat Stage,Giovanni Battaglin,ITA,1976
916,3,1976-06-27,37.0,Le Touquet-Paris-Plage,Le Touquet-Paris-Plage,Individual Time Trial,Freddy Maertens,BEL,1976
917,4,1976-06-28,258.0,Le Touquet-Paris-Plage,Bornem,Flat Stage,Hennie Kuiper,NED,1976
918,5a,1976-06-29,4.0,Leuven,Leuven,Team Time Trial,TI–Raleigh–Campagnolo,,1976
919,5b,1976-06-29,144.0,Leuven,Verviers,Other Type Stage,Miguel-Maria Lasa,ESP,1976
920,6,1976-06-30,209.0,Bastogne,Nancy,Flat Stage,Aldo Parecchini,ITA,1976
921,7,1976-07-01,206.0,Nancy,Mulhouse,Flat Stage,Freddy Maertens,BEL,1976
922,8,1976-07-02,220.0,Valentigney,Divonne-les-Bains,Flat Stage,Jacques Esclassan,FRA,1976
923,9,1976-07-04,258.0,Divonne-les-Bains,Alpe d'Huez,Mountain Stage,Joop Zoetemelk,NED,1976
924,10,1976-07-05,166.0,Le Bourg-d'Oisans,Montgenèvre,Mountain Stage,Joop Zoetemelk,NED,1976
925,11,1976-07-06,224.0,Montgenèvre,Manosque,Mountain Stage,José-Luis Viejo,ESP,1976
926,12,1976-07-08,205.0,Le Barcarès,Pyrénées 2000,Mountain Stage,Raymond Delisle,FRA,1976
927,13,1976-07-09,188.0,Font-Romeu-Odeillo-Via,Saint-Gaudens,Mountain Stage,Willy Teirlinck[8],BEL,1976
928,14,1976-07-10,139.0,Saint-Gaudens,Saint-Lary-Soulan,Mountain Stage,Lucien Van Impe,BEL,1976
929,15,1976-07-11,195.0,Saint-Lary-Soulan,Pau,Mountain Stage,Wladimiro Panizza,ITA,1976
930,16,1976-07-12,152.0,Pau,Fleurance,Flat Stage,Michel Pollentier,BEL,1976
931,17,1976-07-13,39.0,Fleurance,Auch,Individual Time Trial,Ferdinand Bracke,BEL,1976
932,18a,1976-07-14,86.0,Auch,Langon,Other Type Stage,Freddy Maertens,BEL,1976
933,18b,1976-07-14,123.0,Langon,Lacanau,Other Type Stage,Freddy Maertens,BEL,1976
934,18c,1976-07-14,70.0,Lacanau,Bordeaux,Other Type Stage,Gerben Karstens,NED,1976
935,19,1976-07-15,220.0,Sainte-Foy-la-Grande,Tulle,Flat Stage,Hubert Mathis,FRA,1976
936,20,1976-07-16,220.0,Tulle,Puy de Dôme,Mountain Stage,Joop Zoetemelk,NED,1976
937,21,1976-07-17,145.0,Montargis,Versailles,Flat Stage,Freddy Maertens,BEL,1976
938,22a,1976-07-18,6.0,Paris,Paris,Individual Time Trial,Freddy Maertens,BEL,1976
939,22b,1976-07-18,91.0,Paris,Paris,Other Type Stage,Gerben Karstens,NED,1976
940,P,1975-06-26,6.0,Charleroi,Charleroi,Individual Time Trial,Francesco Moser,ITA,1975
941,1a,1975-06-27,94.0,Charleroi,Molenbeek,Flat Stage,Cees Priem,NED,1975
942,1b,1975-06-27,109.0,Molenbeek,Roubaix,Flat Stage,Rik Van Linden,BEL,1975
943,2,1975-06-28,121.0,Roubaix,Amiens,Flat Stage,Ronald de Witte,BEL,1975
944,3,1975-06-29,170.0,Amiens,Versailles,Flat Stage,Karel Rottiers,BEL,1975
945,4,1975-06-30,223.0,Versailles,Le Mans,Flat Stage,Jacques Esclassan,FRA,1975
946,5,1975-07-02,222.0,Sablé-sur-Sarthe,Merlin-Plage,Flat Stage,Theo Smit,NED,1975
947,6,1975-07-02,16.0,Merlin-Plage,Merlin-Plage,Individual Time Trial,Eddy Merckx,BEL,1975
948,7,1975-07-03,236.0,Saint-Gilles-Croix-de-Vie,Angoulême,Flat Stage,Francesco Moser,ITA,1975
949,8,1975-07-04,134.0,Angoulême,Bordeaux,Flat Stage,Barry Hoban,GBR,1975
950,9a,1975-07-05,131.0,Langon,Fleurance,Flat Stage,Theo Smit,NED,1975
951,9b,1975-07-05,37.0,Fleurance,Auch,Individual Time Trial,Eddy Merckx,BEL,1975
952,10,1975-07-07,206.0,Auch,Pau,Mountain Stage,Felice Gimondi,ITA,1975
953,11,1975-07-08,160.0,Pau,Saint-Lary-Soulan Pla d'Adet,Mountain Stage,Joop Zoetemelk,NED,1975
954,12,1975-07-09,242.0,Tarbes,Albi,Flat Stage,Gerrie Knetemann,NED,1975
955,13,1975-07-10,260.0,Albi,Super-Lioran,Mountain Stage,Michel Pollentier,BEL,1975
956,14,1975-07-11,174.0,Aurillac,Puy de Dôme,Mountain Stage,Lucien Van Impe,BEL,1975
957,15,1975-07-13,217.0,Nice,Pra-Loup,Mountain Stage,Bernard Thévenet,FRA,1975
958,16,1975-07-14,107.0,Barcelonnette,Serre Chevalier,Mountain Stage,Bernard Thévenet,FRA,1975
959,17,1975-07-15,225.0,Valloire,Morzine Avoriaz,Mountain Stage,Vicente Lopez-Carril,ESP,1975
960,18,1975-07-16,40.0,Morzine,Châtel,Individual Time Trial,Lucien Van Impe,BEL,1975
961,19,1975-07-17,229.0,Thonon-les-Bains,Chalon-sur-Saône,Mountain Stage,Rik Van Linden,BEL,1975
962,20,1975-07-18,256.0,Pouilly-en-Auxois,Melun,Flat Stage,Giacinto Santambrogio,ITA,1975
963,21,1975-07-19,220.0,Melun,Senlis,Flat Stage,Rik Van Linden,BEL,1975
964,22,1975-07-20,164.0,Paris,Paris,Flat Stage,Walter Godefroot,BEL,1975
965,P,1974-06-27,7.0,Brest,Brest,Individual Time Trial,Eddy Merckx,BEL,1974
966,1,1974-06-28,144.0,Brest,Saint-Pol-de-Léon,Flat Stage,Ercole Gualazzini,ITA,1974
967,2,1974-06-29,164.0,Plymouth,Plymouth,Flat Stage,Henk Poppe,NED,1974
968,3,1974-06-30,190.0,Morlaix,Saint-Malo,Flat Stage,Patrick Sercu,BEL,1974
969,4,1974-07-01,184.0,Saint-Malo,Caen,Flat Stage,Patrick Sercu,BEL,1974
970,5,1974-07-02,165.0,Caen,Dieppe,Flat Stage,Ronald de Witte,BEL,1974
971,6a,1974-07-03,239.0,Dieppe,Harelbeke,Flat Stage,Jean-Luc Molineris,FRA,1974
972,6b,1974-07-03,9.0,Harelbeke,Harelbeke,Team Time Trial,Molteni,,1974
973,7,1974-07-04,221.0,Mons,Châlons-sur-Marne,Flat Stage,Eddy Merckx,BEL,1974
974,8a,1974-07-05,136.0,Châlons-sur-Marne,Chaumont,Flat Stage,Cyrille Guimard,FRA,1974
975,8b,1974-07-05,152.0,Chaumont,Besançon,Flat Stage,Patrick Sercu,BEL,1974
976,9,1974-07-06,241.0,Besançon,Gaillard,Mountain Stage,Eddy Merckx,BEL,1974
977,10,1974-07-07,131.0,Gaillard,Aix-les-Bains,Mountain Stage,Eddy Merckx,BEL,1974
978,11,1974-07-08,199.0,Aix-les-Bains,Serre Chevalier,Mountain Stage,Vicente Lopez Carril,ESP,1974
979,12,1974-07-10,231.0,Savines-le-Lac,Orange,Mountain Stage,Jos Spruyt,BEL,1974
980,13,1974-07-11,126.0,Avignon,Montpellier,Flat Stage,Barry Hoban,GBR,1974
981,14,1974-07-12,249.0,Lodève,Colomiers,Flat Stage,Jean-Pierre Genet,FRA,1974
982,15,1974-07-14,225.0,Colomiers,La Seu d'Urgell,Mountain Stage,Eddy Merckx,BEL,1974
983,16,1974-07-15,209.0,La Seu d'Urgell,Saint-Lary-Soulan Pla d'Adet,Mountain Stage,Raymond Poulidor,FRA,1974
984,17,1974-07-16,119.0,Saint-Lary-Soulan,La Mongie,Mountain Stage,Jean-Pierre Danguillaume,FRA,1974
985,18,1974-07-17,141.0,Bagnères-de-Bigorre,Pau,Mountain Stage,Jean-Pierre Danguillaume,FRA,1974
986,19a,1974-07-18,196.0,Pau,Bordeaux,Flat Stage,Francis Campaner,FRA,1974
987,19b,1974-07-18,12.0,Bordeaux,Bordeaux,Individual Time Trial,Eddy Merckx,BEL,1974
988,20,1974-07-19,120.0,Saint-Gilles-Croix-de-Vie,Nantes,Flat Stage,Gerard Vianen,NED,1974
989,21a,1974-07-20,113.0,Vouvray,Orléans,Flat Stage,Eddy Merckx,BEL,1974
990,21b,1974-07-20,37.0,Orléans,Orléans,Individual Time Trial,Michel Pollentier,BEL,1974
991,22,1974-07-21,146.0,Orléans,Paris,Flat Stage,Eddy Merckx,BEL,1974
992,P,1973-06-30,7.1,Scheveningen,Scheveningen,Individual Time Trial,Joop Zoetemelk,NED,1973
993,1a,1973-07-01,84.0,Scheveningen,Rotterdam,Flat Stage,Willy Teirlinck,BEL,1973
994,1b,1973-07-01,137.5,Rotterdam,Sint-Niklaas,Flat Stage,José Catieau,FRA,1973
995,2a,1973-07-02,12.4,Sint-Niklaas,Sint-Niklaas,Team Time Trial,Watney–Maes Pils,,1973
996,2b,1973-07-02,138.0,Sint-Niklaas,Roubaix,Flat Stage,Eddy Verstraeten,BEL,1973
997,3,1973-07-03,226.0,Roubaix,Reims,Flat Stage,Cyrille Guimard,FRA,1973
998,4,1973-07-04,214.0,Reims,Nancy,Flat Stage,Joop Zoetemelk,NED,1973
999,5,1973-07-05,188.0,Nancy,Mulhouse,Mountain Stage,Walter Godefroot,BEL,1973
1000,6,1973-07-06,244.5,Mulhouse,Divonne-les-Bains,Mountain Stage,Jean-Pierre Danguillaume,FRA,1973
1001,7a,1973-07-08,86.5,Divonne-les-Bains,Gaillard,Mountain Stage,Luis Ocaña,ESP,1973
1002,7b,1973-07-08,150.5,Gaillard,Méribel,Mountain Stage,Bernard Thévenet,FRA,1973
1003,8,1973-07-09,237.5,Moûtiers,Les Orres,Mountain Stage,Luis Ocaña,ESP,1973
1004,9,1973-07-10,234.5,Embrun,Nice,Mountain Stage,Vicente López Carril,ESP,1973
1005,10,1973-07-11,222.5,Nice,Aubagne,Mountain Stage,Michael Wright,GBR,1973
1006,11,1973-07-12,238.0,Montpellier,Argelès-sur-Mer,Flat Stage,Barry Hoban,GBR,1973
1007,12a,1973-07-13,28.3,Perpignan,Thuir,Individual Time Trial,Luis Ocaña,ESP,1973
1008,12b,1973-07-13,76.0,Thuir,Pyrénées 2000,Mountain Stage,Lucien Van Impe,BEL,1973
1009,13,1973-07-15,235.0,Bourg-Madame,Luchon,Mountain Stage,Luis Ocaña,ESP,1973
1010,14,1973-07-16,227.5,Luchon,Pau,Mountain Stage,Pedro Torres,ESP,1973
1011,15,1973-07-17,137.0,Pau,Fleurance,Flat Stage,Wilfried David,BEL,1973
1012,16a,1973-07-18,210.0,Fleurance,Bordeaux,Flat Stage,Walter Godefroot,BEL,1973
1013,16b,1973-07-18,12.4,Bordeaux,Bordeaux,Individual Time Trial,Joaquim Agostinho,POR,1973
1014,17,1973-07-19,248.0,Sainte-Foy-la-Grande,Brive-la-Gaillarde,Flat Stage,Claude Tollet,FRA,1973
1015,18,1973-07-20,216.5,Brive-la-Gaillarde,Puy de Dôme,Mountain Stage,Luis Ocaña,ESP,1973
1016,19,1973-07-21,233.5,Bourges,Versailles,Flat Stage,Barry Hoban,GBR,1973
1017,20a,1973-07-22,16.0,Versailles,Versailles,Individual Time Trial,Luis Ocaña,ESP,1973
1018,20b,1973-07-22,89.0,Versailles,Paris,Flat Stage,Bernard Thévenet,FRA,1973
1019,P,1972-07-01,7.2,Angers,Angers,Individual Time Trial,Eddy Merckx,BEL,1972
1020,1,1972-07-02,235.5,Angers,Saint-Brieuc,Flat Stage,Cyrille Guimard,FRA,1972
1021,2,1972-07-03,206.5,Saint-Brieuc,La Baule,Flat Stage,Rik Van Linden,BEL,1972
1022,3a,1972-07-04,161.0,Pornichet,Saint-Jean-de-Monts,Flat Stage,Ercole Gualazzini,ITA,1972
1023,3b,1972-07-04,16.2,Merlin-Plage,Merlin-Plage,Team Time Trial,Molteni,,1972
1024,4,1972-07-05,236.0,Merlin-Plage,Royan,Flat Stage,Cyrille Guimard,FRA,1972
1025,5a,1972-07-06,133.5,Royan,Bordeaux,Flat Stage,Walter Godefroot,BEL,1972
1026,5b,1972-07-06,12.7,Bordeaux,Bordeaux,Individual Time Trial,Eddy Merckx,BEL,1972
1027,6,1972-07-07,205.0,Bordeaux,Bayonne,Flat Stage,Leo Duyndam,NED,1972
1028,7,1972-07-09,220.5,Bayonne,Pau,Mountain Stage,Yves Hézard,FRA,1972
1029,8,1972-07-10,163.5,Pau,Luchon,Mountain Stage,Eddy Merckx,BEL,1972
1030,9,1972-07-11,179.0,Luchon,Colomiers,Hilly Stage,Jos Huysmans,BEL,1972
1031,10,1972-07-12,210.0,Castres,La Grande-Motte,Flat Stage,Willy Teirlinck,BEL,1972
1032,11,1972-07-13,207.0,Carnon-Plage,Mont Ventoux,Mountain Stage,Bernard Thévenet,FRA,1972
1033,12,1972-07-14,192.0,Carpentras,Orcières,Mountain Stage,Lucien Van Impe,BEL,1972
1034,13,1972-07-16,201.0,Orcières,Briançon,Mountain Stage,Eddy Merckx,BEL,1972
1035,14a,1972-07-17,51.0,Briançon,Valloire,Mountain Stage,Eddy Merckx,BEL,1972
1036,14b,1972-07-17,151.0,Valloire,Aix-les-Bains,Mountain Stage,Cyrille Guimard,FRA,1972
1037,15,1972-07-18,28.0,Aix-les-Bains,Le Revard,Mountain Stage,Cyrille Guimard,FRA,1972
1038,16,1972-07-19,198.5,Aix-les-Bains,Pontarlier,Hilly Stage,Willy Teirlinck,BEL,1972
1039,17,1972-07-20,213.0,Pontarlier,Ballon d’Alsace,Hilly Stage,Bernard Thévenet,FRA,1972
1040,18,1972-07-21,257.5,Vesoul,Auxerre,Flat Stage,Marinus Wagtmans,NED,1972
1041,19,1972-07-22,230.0,Auxerre,Versailles,Flat Stage,Joseph Bruyère,BEL,1972
1042,20a,1972-07-23,42.0,Versailles,Versailles,Individual Time Trial,Eddy Merckx,BEL,1972
1043,20b,1972-07-23,89.0,Versailles,Paris,Flat Stage,Willy Teirlinck,BEL,1972
1044,P,1971-06-26,11.0,Mulhouse,Mulhouse,Team Time Trial,Molteni,,1971
1045,1a,1971-06-27,59.5,Mulhouse,Basel,Mountain Stage,Eric Leman,BEL,1971
1046,1b,1971-06-27,90.0,Basel,Freiburg,Flat Stage,Gerben Karstens,NED,1971
1047,1c,1971-06-27,74.5,Freiburg,Mulhouse,Flat Stage,Albert Van Vlierberghe,BEL,1971
1048,2,1971-06-28,144.0,Mulhouse,Strasbourg,Mountain Stage,Eddy Merckx,BEL,1971
1049,3,1971-06-29,165.5,Strasbourg,Nancy,Mountain Stage,Rini Wagtmans,NED,1971
1050,4,1971-06-30,242.0,Nancy,Marche-en-Famenne,Flat Stage,Jean-Pierre Genet,FRA,1971
1051,5,1971-07-01,208.5,Dinant,Roubaix,Mountain Stage,Pietro Guerra,ITA,1971
1052,6a,1971-07-02,127.5,Roubaix,Amiens,Flat Stage,Eric Leman,BEL,1971
1053,6b,1971-07-02,133.5,Amiens,Le Touquet,Flat Stage,Mauro Simonetti,ITA,1971
1054,7,1971-07-04,257.5,Rungis,Nevers,Flat Stage,Eric Leman,BEL,1971
1055,8,1971-07-05,221.0,Nevers,Puy de Dôme,Mountain Stage,Luis Ocaña,ESP,1971
1056,9,1971-07-06,153.0,Clermont-Ferrand,Saint-Étienne,Mountain Stage,Walter Godefroot,BEL,1971
1057,10,1971-07-07,188.5,Saint-Étienne,Grenoble,Mountain Stage,Bernard Thévenet,FRA,1971
1058,11,1971-07-08,134.0,Grenoble,Orcières,Mountain Stage,Luis Ocaña,ESP,1971
1059,12,1971-07-10,251.0,Orcières,Marseille,Flat Stage,Luciano Armani,ITA,1971
1060,13,1971-07-11,16.3,Albi,Albi,Individual Time Trial,Eddy Merckx,BEL,1971
1061,14,1971-07-12,214.5,Revel,Luchon,Mountain Stage,José Manuel Fuente,ESP,1971
1062,15,1971-07-13,19.6,Luchon,Superbagnères,Mountain Stage,José Manuel Fuente,ESP,1971
1063,16a,1971-07-14,145.0,Luchon,Gourette,Mountain Stage,Bernard Labourdette,FRA,1971
1064,16b,1971-07-14,57.5,Gourette,Pau,Flat Stage,Herman Van Springel,BEL,1971
1065,17,1971-07-15,188.0,Mont-de-Marsan,Bordeaux,Flat Stage,Eddy Merckx,BEL,1971
1066,18,1971-07-16,244.0,Bordeaux,Poitiers,Flat Stage,Jean-Pierre Danguillaume,FRA,1971
